№,Уязвимость,Уровень риска,Описание,Рекомендация
1,SQL Injection,High,"Возможность внедрения SQL-запросов через параметры формы (например, "id на странице view_source.php?page=vulnerabilities/sqli),"Использовать подготовленные запросы (prepared statements), фильтрация входных данных"
2,Reflected XSS,High,"Внедрение JavaScript-кода через GET-параметры (например, "name= на главной странице),"Экранирование вывода, использование CSP"
3,Stored XSS,High,"Сохранение JS-скриптов в БД и их выполнение другими пользователями (например, комментарии на "vulnerabilities/xss_s),"Санитизация ввода, проверка содержимого перед сохранением"
4,Command Injection,High,"Выполнение shell-команд через поле ввода (например, "ping на vulnerabilities/exec),"Фильтрация специальных символов, запрет выполнения системных команд"
5,Brute Force,Medium,"Возможность перебора паролей через форму входа без защиты (например, CAPTCHA, блокировки IP)","Добавить ограничения попыток входа, использовать CAPTCHA"
6,File Upload,High,Возможность загрузки исполняемых файлов .php,"Проверка MIME-типов, ограничение расширений, изоляция загружаемых файлов"
7,CSRF (Cross-Site Request Forgery),Medium,Отсутствие токенов подтверждения при изменении настроек или пароля,"Добавить CSRF-токены (CSRF token), проверять Referer"
8,Exposed Debug Page,Low,Наличие страниц диагностики и информации о структуре сайта,Удалить или защитить debug-страницы в продакшене
9,Session Fixation,Medium,Возможность захвата сессии через неизменяемый session ID,Генерировать новый session ID после входа
10,Insecure HTTP Method,Informational,Поддержка методов PUT", "TRACE" и др., которые могут быть использованы злоумышленниками",Отключить ненужные HTTP-методы
